transaction_id,customer_id,product_id,amount,currency,transaction_ts
TXN-1001,1,101,59.98,USD,2025-06-15 09:23:14
TXN-1002,2,107,39.95,USD,2025-06-15 10:45:00
TXN-1003,3,102,89.99,EUR,2025-07-01 14:12:33
TXN-1004,5,104,103.50,USD,2025-07-10 08:30:00
TXN-1005,1,108,54.99,USD,2025-07-22 16:55:21
TXN-1006,7,103,90.00,EUR,2025-08-03 11:00:45
TXN-1007,9,105,64.95,USD,2025-08-14 13:22:10
TXN-1008,2,109,79.00,USD,2025-09-01 09:10:00
TXN-1009,10,111,64.99,USD,2025-09-12 15:38:27
TXN-1010,6,106,49.99,EUR,2025-09-28 10:05:00
TXN-1011,5,110,33.96,USD,2025-10-05 12:44:18
TXN-1012,3,101,29.99,USD,2025-10-18 17:20:00
TXN-1013,7,112,31.98,EUR,2025-11-02 08:15:33
TXN-1014,1,102,89.99,USD,2025-11-20 14:50:00
TXN-1015,9,107,79.90,USD,2025-12-01 11:30:45
TXN-1016,4,104,-34.50,USD,2025-12-10 09:00:00
TXN-1017,8,103,0.00,EUR,2026-01-05 10:22:14
TXN-1018,10,104,34.50,USD,2026-01-10 16:45:00
TXN-1019,2,103,45.00,USD,2026-01-25 13:10:33
TXN-1020,5,108,54.99,USD,2026-02-14 09:30:00
TXN-1021,6,101,-29.99,EUR,2026-02-20 11:55:00
